"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,1,0,1,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,3,0,0,1,0,0,0,0
1,7,4,0,2,0,3,4,1,2,0,0,0,0,0
1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1,0,0,1,1,1,0,0,1,4,0,2,3,2,3
1,6,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,4,10,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5,10,7,10,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,3,1,1,2,4,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
0,1,0,1,6,0,0,0,0,0,0,0,0,1,0
0,3,5,2,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,2,0,1,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,1,2,0,0,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,2,1,1,0,0,2,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,2,1,1,1,0,0,0,0,0,0
0,0,2,0,3,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,0,2,0,0,3,1,0,0,0,1,0,1,1,0
0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,3,1,0,0,0,0,0,0,0,0,0
0,0,1,4,8,1,4,11,3,6,4,0,0,0,1
0,0,1,0,7,7,0,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,10,5,10,5,11,8,13,17,6,4,7
0,0,1,1,0,5,4,8,2,2,1,5,4,5,0
0,0,1,0,6,9,10,3,0,2,0,0,0,0,0
0,0,1,4,11,0,1,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
0,0,1,1,1,3,6,3,5,4,2,6,1,1,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,1,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,2,2,1,1,2,2
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,1,1,1,2,0,2,0,1,1,0,0
0,0,0,1,1,0,0,0,0,3,2,1,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,2,1,0
0,0,0,1,0,1,2,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,2,0,0,0,0,0,0,0,2,0
0,0,0,1,0,1,5,0,1,1,1,0,1,1,1
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,1,0,2,0
0,0,0,1,0,0,0,0,0,1,0,2,0,2,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
